Power (Watts),Official Name of Satellite
2800,INMARSAT 3 F5
2900,Helios 2A
2900,Helios 2B
3,Jugnu
3500,TDRS-12
3700,Nilesat 201
3700,Nilesat 102
3800,USA 146
3800,USA 138
300,Cosmos 2437
300,Canopus-B
300,BKA 2
300,Cosmos 2508
300,Cosmos 2438
300,Cosmos 2488
300,Cosmos 2509
300,Cosmos 2507
300,Cosmos 2498
300,Cosmos 2497
300,Cosmos 2496
300,Cosmos 2490
300,Cosmos 2489
300,Cosmos 2439
300,Cosmos 2484
300,Cosmos 2482
300,Cosmos 2483
300,Cosmos 2453
300,Cosmos 2451
300,Cosmos 2481
3000,Optus B3 
3000,INSAT 4CR
3100,GSAT-6
3100,Worldview 3
3100,INSAT 3A
32,LAPAN A2
3200,Worldview 1
3200,INSAT 3C
3300,AMC-8
3300,Astra 1D
3300,Sicral 1A
3300,MSAT 1
3300,MSAT 2
340,Odin
348,SOlar Radiation and Climate Experiment (SORCE)
35,Microvariability & Oscillations of Stars (MOST)
3500,COMSATBw-1
3500,COMSATBw-2
3500,Mexsat-3
3500,JCSat 2A
360,DubaiSat-2
360,DubaiSat-1
3600,COSMO-Skymed 1
37,LAPAN A3
3700,Palapa C2
3800,Optus D2
3800,Ibuki
3900,Intelsat 702
3900,Intelsat 701
3900,NSS-7
4600,Aura
4860,Aqua
4.05,GCOM-1
40,THEMIS A
40,THEMIS D
40,THEMIS E
400,ORBCOMM FM-105
400,ORBCOMM FM-114
400,ORBCOMM FM-115
400,ORBCOMM FM-116
400,ORBCOMM FM-117
400,ORBCOMM FM-111
400,ORBCOMM FM-110
400,ORBCOMM FM-109
400,ORBCOMM FM-108
400,ORBCOMM FM-118
400,ORBCOMM FM-119
400,ORBCOMM FM-104
400,ORBCOMM FM-107
400,ORBCOMM FM-106
400,ORBCOMM FM-103
400,ORBCOMM FM-113
400,ORBCOMM FM-112
4000,Telkom 1
406,TIMED
414,RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager)
42,Rising-2
4200,Express-AM3
4300,Landsat 8
4400,Astra 1F
450,Deimos 2
4500,Intelsat 16
46,COSMIC-D
46,COSMIC-B
46,COSMIC-E
46,COSMIC-F
46,COSMIC-A
4600,Intelsat 15
4600,Advanced Data Relay and Technology Mission Satellite (Artemis) 
4600,ArSat 2
4700,Galaxy-14
4700,Horizons 2
4700,Galaxy-15
